공간정보일련번호,관리번호,종류,등급,명칭,상태,도엽명,계획기관,표지상황,위치,위치_비고,측량연도,고시일자,고시번호,기준타원체,종축(x)좌표,횡축(y)좌표,정표고(h),직각좌표계원점
1175,20651,공공기준점,4급,NO48,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구내 NO47에서 동쪽 약 150M지점 삼거리 경계석 밑 측구에 위치  ,2010,2010-04-08,2010-259,GRS80,278393.0006,189644.5903,2.6592,동부
1176,20652,공공기준점,4급,NO49,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,한전 SW박스(화전3공구 12) 도로 건너편 좌측 약 15M지점 경계석  밑 측구에 위치 ,2010,2010-04-08,2010-259,GRS80,278160.1318,188888.6934,2.5356,동부
1177,20653,공공기준점,4급,NO50,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO49에서 동쪽 약 100M지점 경계석 밑 측구에 위치  ,2010,2010-04-08,2010-259,GRS80,278163.7917,189172.9971,3.0984,동부
1178,20654,공공기준점,4급,NO51,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO50에서 동쪽 약 80M지점 사거리 횡단보도 시작지점 에 위치 ,2010,2010-04-08,2010-259,GRS80,278152.9143,189347.2924,2.707,동부
1179,20655,공공기준점,4급,NO52,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO51에서 동쪽 약 150M지점 삼거리 경계석 앞 ASP에  위치 ,2010,2010-04-08,2010-259,GRS80,278155.8829,189639.3435,2.4783,동부
1180,20656,공공기준점,4급,NO53,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO052에서 동쪽 약 30M지점 인도 경계석 앞 측구에 위치  ,2010,2010-04-08,2010-259,GRS80,278160.5469,189744.6107,2.8426,동부
1181,20657,공공기준점,4급,NO54,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO53에서 남쪽방향 약 80M지점 인도경계석 앞 측구에 위치  ,2010,2010-04-08,2010-259,GRS80,277901.7455,189726.2629,2.2186,동부
1182,20658,공공기준점,4급,NO55,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,조형물 옆 교통섬에 있는 안전지대에 위치함  ,2010,2010-04-08,2010-259,GRS80,277751.8029,189676.7068,2.2929,동부
1183,20659,공공기준점,4급,NO56,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO51에서 남쪽 약 100M지점 삼거리 인도 커브지점 앞 측구에 위치 ,2010,2010-04-08,2010-259,GRS80,277889.3342,189315.6221,2.7366,동부
1184,20660,공공기준점,4급,NO57,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구내 NO56에서 서쪽 약 80M지점 화단경계석 앞 ASP에 위치  ,2010,2010-04-08,2010-259,GRS80,277941.2079,189157.1479,2.8151,동부
1185,20661,공공기준점,4급,NO58,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO49에서 남쪽방향 약 40M지점 삼거리 안전지대안에 위치  ,2010,2010-04-08,2010-259,GRS80,278057.25,188899.7573,2.9912,동부
1186,20662,공공기준점,4급,NO59,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO58과 NO60 중간지점 화단경계석 앞 ASP에 위치  ,2010,2010-04-08,2010-259,GRS80,278075.7423,188788.5048,3.126,동부
1187,20663,공공기준점,4급,NO60,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,한전 SW박스 화전 3공구 5 앞 삼거리 횡단보도 옆 안전지대에 위치  ,2010,2010-04-08,2010-259,GRS80,278125.4154,188592.8485,3.2864,동부
1188,20664,공공기준점,4급,NO61,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,르노삼성자동차 기숙사 뒷편 도로 하천 지하통로 시작지점 화단 옆 경계석 밑 ASP에 위치 ,2010,2010-04-08,2010-259,GRS80,278214.8159,188389.1681,3.558,동부
1189,20665,공공기준점,4급,NO62,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,르노삼성자동차 기숙사 뒷편 도로 삼거리 횡단보도 앞 측구에 위치  ,2010,2010-04-08,2010-259,GRS80,278286.6125,188236.383,3.7083,동부
1190,20666,공공기준점,4급,NO01,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구산업단지 입구(농협녹산지점 옆) 도로 중앙화단 앞에 위치  ,2010,2010-04-14,2010-284,GRS80,279554.3214,188899.5527,1.6969,동부
1191,20667,공공기준점,4급,NO02,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 입구(금호타이어 옆) 횡단보다 시작지점 측구에 위치  ,2010,2010-04-14,2010-284,GRS80,279556.0976,189335.5163,2.0679,동부
1192,20668,공공기준점,4급,NO03,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 녹산농협 뒷편 횡단보도 옆 인도 커브지점 측구에 위치  ,2010,2010-04-14,2010-284,GRS80,279426.8348,188754.5439,2.5379,동부
1103,20577,공공기준점,4급,NJ16,양호,부산,(주)부산도시가스,동판,부산광역시 남구,신창가스 입구 사거리 전주 옆 코너에 위치 (새주소 : 용주로 63),2015,,,GRS80,279649.331,210437.449,32.629,동부
1104,20578,공공기준점,4급,NJ17,양호,부산,(주)부산도시가스,동판,부산광역시 남구,CU편의점 입구 삼거리 맨홀 옆 코너에 위치(새주소 : 용호로),2015,,,GRS80,279282.918,210167.458,35.828,동부
1105,20579,공공기준점,4급,NJ18,양호,부산,(주)부산도시가스,동판,부산광역시 남구,부산성모병원 입구 맞은편 공사현장 입구 코너에 위치(새주소 : 용호로),2015,,,GRS80,279108.464,210229.234,53.518,동부
1106,20580,공공기준점,4급,RG01,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,소나무집 식당 앞 보도경계석 코너 앞에 위치(새주소 : 금강공원로 60),2015,,,GRS80,291360.861,207109.545,21.382,동부
1107,20581,공공기준점,4급,RG02,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,도로커브길 망미루터 비석 선상 보도경계석 앞에 위치 (새주소 : 금강공원로 53),2015,,,GRS80,291351.278,207168.443,15.546,동부
1108,20582,공공기준점,4급,RG03,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,사직야구장 입구 삼거리 중앙선상 보도경계석 위에 위치(새주소 : 사직로),2015,,,GRS80,288790.909,205564.613,17.96,동부
1109,20583,공공기준점,4급,RG04,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,사직야구장 입구 삼거리 도로중앙 화단경계석 앞 안전지대 내에 위치(새주소 : 사직로),2015,,,GRS80,288824.197,205609.569,17.2,동부
1110,20584,공공기준점,4급,RG05,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,도로사거리 중앙지점에 위치(새주소 : 여고북로 123번길),2015,,,GRS80,289668.256,206467.358,23.188,동부
1111,20585,공공기준점,4급,RG06,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,미용실 앞 사거리 중앙지점에 위치(새주소 : 미남로 102번길 45),2015,,,GRS80,289702.338,206568.476,14.544,동부
1112,20586,공공기준점,4급,RG07,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,도로사거리 중앙에 위치(새주소 : 여고북로 73번길 3),2015,,,GRS80,289352.606,206303.318,12.561,동부
1113,20587,공공기준점,4급,RG08,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,부산은행 앞 사거리 횡단보도 끝지점 보도경계석 코너에 위치(새주소 : 미남로),2015,,,GRS80,289370.645,206350.311,10.479,동부
1114,20588,공공기준점,4급,RG09,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,도로삼거리 중앙선상 반사경 옆에 위치(새주소 : 온천천로 193),2015,,,GRS80,289541.539,207177.25,7.655,동부
1115,20589,공공기준점,4급,RG10,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,온천2호 인도교 입구 과속방지턱 모서리 옆에 위치(새주소 : 온천천로 195),2015,,,GRS80,289509.234,207182.248,7.11,동부
1116,20590,공공기준점,4급,RG11,양호,부산,(주)부산도시가스,동판,부산광역시 동래구,골목입구에 위치(새주소 : 명안로 10번길),2015,,,GRS80,288979.671,209711.896,12.422,동부
1117,20761,공공기준점,4급,GJ.261,양호,부산,한국전력공사,동판,부산 기장군 기장읍 대라리,대청중학교 사거리에서 철길방향 내려와 굽는 도로 노견에 위치   ,2010,2010-10-19,2010-708,GRS80,293040.03,219496.42,22.581,동부
1118,20762,공공기준점,4급,GJ.262,양호,부산,한국전력공사,동판,부산 기장군 기장읍 대라리,대청중학교 앞 사거리 코너에 위치  ,2010,2010-10-19,2010-708,GRS80,293118.843,219388.728,26.876,동부
1119,20595,공공기준점,4급,SY02,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,일방통행길 입구 횡단보도 중간지점에 위치(새주소 : 과정로),2015,,,GRS80,286828.72,209781.084,18.168,동부
1120,20596,공공기준점,4급,SY03,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,도로삼거리 중앙지점에 위치(새주소 : 망미번영로 85번길 33),2015,,,GRS80,286546.475,209956.321,8.984,동부
1121,20597,공공기준점,4급,SY04,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,골목입구 가로등 앞에 위치(새주소 : 망미번영로),2015,,,GRS80,286524.58,210050.069,7.995,동부
1122,20598,공공기준점,4급,SY05,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,골목입구 체신맨홀 옆에 위치(새주소 : 과정로),2015,,,GRS80,286290.071,209905.981,15.021,동부
1123,20599,공공기준점,4급,SY06,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,도로사거리 중앙지점에 위치(새주소 : 과정로 16번길 23),2015,,,GRS80,286336.903,210007.388,11.932,동부
