공간정보일련번호,지형지물부호,등록구,관리기관,명칭,구경,형식,제작회사,최대유량,설치일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
373,유량계,사하구,사하사업소,17블록 유량계,150,전자식,(주)서용엔지니어링,0,2019-03-13,신평배수지,양호,-,사하구,블록
370,유량계,사하구,사하사업소,18블록유량계,200,전자식,(주)서용엔지니어링,0,2019-03-12,신평배수지,양호,-,사하구,블록
281,유량계,영도구,영도사업소,제16블록 유량계,100,전자식,서용,160,2019-03-11,해돋이배수지,양호,상수맨홀,영도구,블록
338,유량계,영도구,영도사업소,20블록 유량계,200,전자식,서용,0,2019-03-11,해돋이배수지,양호,상수맨홀,영도구,블록
382,유량계,영도구,영도사업소,제7블록 유량계,150,전자식,서용,276328.61,2018-12-21,청학배수지,양호,상수맨홀,영도구,블록
"8,961",유량계,기장군,기장사업소,19블록 유량계(일광택지입구,300,전자식,리테크,297221.74,2018-12-20,봉대산배수지,-,-,-,블록
482,유량계,중구,시설관리사업소,영도대교,1000,초음파식,대덕하이테크,0,2018-12-12,덕산정수장(생활직송),양호,-,-,권역
468,유량계,부산진구,부산진사업소,5-1유량계,250,초음파식,CM엔텍,0,2018-11-28,당감가압장,양호,-,부산진구,블록
204,유량계,부산진구,부산진사업소,23블록 구역유량계,250,초음파식,자인테크놀로지,0,2018-11-22,문현배수지,양호,-,부산진구,블록
575,유량계,부산진구,부산진사업소,15블록 유량계,250,초음파식,자인테크놀로지,0,2018-11-22,전포2배수지,양호,-,부산진구,블록
609,유량계,서구,시설관리사업소,혜광주택앞,500,전자식,ABB,0,2018-11-07,수정산터널배수지,-,-,서구,권역
"8,001",유량계,연제구,동래통합사업소,56블록유량계,200,전자식,-,0,2018-09-19,연산배수지,양호,-,-,블록
"9,281",유량계,부산진구,부산진사업소,8블록 유량계,300,초음파식,자인테크놀로지(주),285047.71,2018-09-18,당감배수지,양호,상수맨홀,부산진구,블록
36,유량계,연제구,시설관리사업소,하마정,1500,초음파식,대덕,286789.01,2018-08-15,사상가압장(신설),양호,상수맨홀,연제구,권역
"7,041",유량계,영도구,영도사업소,19블록 유량계,250,전자식,서용,276980.55,2018-07-16,청학배수지,양호,상수맨홀,영도구,블록
"5,441",유량계,강서구,강서사업소,미음배수지 토출유량계,300,전자식,서용엔지니어링,0,2018-06-28,미음생활용수배수지,양호,-,-,배수지
"6,721",유량계,강서구,강서사업소,강서9-2블록 유량계실,200,전자식,서용엔지니어링,0,2018-06-28,녹산생활배수지,양호,-,-,블록(보조)
541,유량계,부산진구,부산진사업소,25블록 유량계,300,초음파식,자인,284203.52,2018-06-11,전포2배수지,양호,-,부산진구,블록
86,유량계,동래구,동래통합사업소,26블록유량계,250,전자식,서용엔지니어링,0,2018-05-14,덕천가압장(시내),양호,상수맨홀,동래구,블록
117,유량계,연제구,동래통합사업소,39블록유량계,200,전자식,(주)서용엔지니어링,0,2018-05-14,사상가압장(신설),양호,상수맨홀,연제구,블록
119,유량계,동래구,동래통합사업소,12블록유량계,250,전자식,서용엔지니어링,289901.7,2018-05-14,덕천가압장(시내),양호,상수맨홀,동래구,블록
168,유량계,동래구,동래통합사업소,24블록유량계,300,전자식,서용엔지니어링,0,2018-05-14,덕천가압장(시내),양호,상수맨홀,동래구,블록
186,유량계,연제구,동래통합사업소,36블록 유량계,300,전자식,서용엔지니어링,0,2018-05-14,덕천가압장(시내),양호,상수맨홀,연제구,블록
187,유량계,연제구,동래통합사업소,38블록유량계,400,전자식,서용엔지니어링,287665.73,2018-05-14,거제배수지,양호,상수맨홀,연제구,블록
85,유량계,사상구,시설관리사업소,낙동대교,450,초음파식,자인테크놀로지(주),0,2018-04-27,덕산정수장(공업직송),양호,상수맨홀,사상구,권역
14,유량계,강서구,강서사업소,강서13블록 유량계,200,전자식,(주)정엔지니어링,0,2018-04-27,덕산정수장(생활직송),양호,-,강서구,블록
255,유량계,기장군,시설관리사업소,송정,700,초음파식,자인테크놀로지(주),0,2018-04-27,좌동2배수지,양호,-,기장군,권역
345,유량계,남구,남부사업소,제45-1블록 유량계,200,전자식,서용엔지니어링,280855.17,2018-04-27,감만배수지,양호,-,남구,블록
670,유량계,강서구,강서사업소,강서7블럭 유량계,200,전자식,(주)정엔지니어링,0,2018-04-27,지사생활배수지,양호,상수맨홀,강서구,블록
257,유량계,해운대구,해운대사업소,반송1동 제8블록 유량계,250,초음파식,(주)씨엠엔텍,0,2018-04-24,반송배수지,양호,상수맨홀,해운대구,블록
