공간정보일련번호,지형지물부호,등록구,관리기관,행정동,허가번호,설치위치,방향,차도폭,길어깨(보도)의폭,높이,색상,도로구간번호,가로표지판규격,세로표지판규격,물건종류,허가구분
"1,380",사설안내표지판,서구,서구,암남동,,,,0,0,0,,동아대1길,,,,
"1,381",사설안내표지판,서구,서구,암남동,,,,8,0,0,,동아대1길,,,,
"1,382",사설안내표지판,서구,서구,암남동,,,,13,0,0,,동아대1길,,,,
"1,383",사설안내표지판,서구,서구,암남동,,,,9,0,0,,동아대1길,,,,
"1,384",사설안내표지판,서구,서구,서대신4동,,,,16,0,0,,,,,,
"1,385",사설안내표지판,서구,서구,서대신4동,,,,17,0,0,,,,,,
"1,386",사설안내표지판,서구,서구,서대신4동,,,,6,0,0,,,,,,
"1,387",사설안내표지판,북구,북구,구포2동,,,,8,0,0,,범방9길,,,,
"1,388",사설안내표지판,서구,서구,암남동,,,,17,5,0,,,,,,
"1,389",사설안내표지판,남구,남구,용호1동,,,,0,0,0,,섶자리1길,,,,
"1,390",사설안내표지판,남구,남구,용호1동,,,,26,0,0,,섶자리1길,,,,
"1,391",사설안내표지판,남구,남구,용호1동,,,,0,0,0,,섶자리1길,,,,
"1,392",사설안내표지판,부산진구,부산진구,가야2동,,,,8,0,0,,금야4로,,,,
"1,393",사설안내표지판,부산진구,부산진구,가야2동,,,,8,0,0,,금야4로,,,,
"1,394",사설안내표지판,부산진구,부산진구,가야2동,,,,9,0,0,,금야4로,,,,
"1,397",사설안내표지판,부산진구,부산진구,가야2동,,,,9,0,0,,금야4로,,,,
"1,398",사설안내표지판,북구,북구,구포2동,,,,9,0,0,,범방9길,,,,
"1,399",사설안내표지판,서구,서구,암남동,,,,11,0,0,,송도해변길,,,,
"1,400",사설안내표지판,서구,서구,암남동,,,,14,0,0,,송도해변길,,,,
"1,401",사설안내표지판,서구,서구,암남동,,,,15,0,0,,송도해변길,,,,
"1,402",사설안내표지판,부산진구,부산진구,가야2동,,,,4,0,0,,금야4로,,,,
"1,403",사설안내표지판,영도구,영도구,,,,,9,0,0,,,,,,
"1,404",사설안내표지판,영도구,영도구,,,,,9,0,0,,,,,,
"1,405",사설안내표지판,부산진구,,범천2동,부산진구0832,신암산복로 구)87번 종점 입구,신암산복로에서 천은사 방향,12,,4,흰(미)색바탕 갈색(계열)글자,엄광로,1200,550,종교시설,허가
"1,406",사설안내표지판,수영구,수영구 도시국 도시관리과,광안3동,수영구200921,수영구 광안동 4439 앞 통합가로등주,민락역방향,21,5,5,갈색바탕 흰색글자,"수영로, 자성로",1800,825,교육기관(학교 등),허가
"1,407",사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구200923,수영구 남천동 4951 통합가로등주,대남사거리방향,29,3,5,갈색바탕 흰색글자,황령로,1800,825,교육기관(학교 등),허가
"1,408",사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구200921,수영구 망미동 8031 앞 통합가로등주,수영교차로방향,25,,5,갈색바탕 흰색글자,"신암로, 동평로, 연산로",1800,825,교육기관(학교 등),허가
"1,409",사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구200921,수영구 남천동 1928 앞 통합가로등주,KBS삼거리 방향,21,2,5,갈색바탕 흰색글자,"수영로, 자성로",1800,825,교육기관(학교 등),허가
"1,410",사설안내표지판,부산진구,,양정2동,부산진구09114,부광탕앞,진남로에서 동의의료원 방면,11,,4,흰(미)색바탕 녹색(계열)글자,진리1로,1500,800,공동주택,허가
"1,411",사설안내표지판,부산진구,,양정2동,부산진구09112,양정2동 신아토건앞,하마정사거리~백조예식장 사이,26,,4,흰(미)색바탕 갈색(계열)글자,"신암로, 동평로, 연산로",1200,550,관광시설,허가
"1,412",사설안내표지판,부산진구,,양정2동,부산진구09116,양정2동 진남로 새공약국앞,진남로에서 동호정보고 방면,11,3,4,흰(미)색바탕 남색글자,진남로,1400,800,기타,허가
"1,413",사설안내표지판,부산진구,,양정2동,부산진구09113,양정2동 원플러스앞(동의의료원 사거리),진남로에서 동의의료원 방면,15,,4,흰(미)색바탕 녹색(계열)글자,진남로,1500,800,공동주택,허가
"1,414",사설안내표지판,부산진구,,양정2동,부산진구09118,양정농협 맞은편,연산로에서 동호정보고 방면,17,5,4,흰(미)색바탕 남색글자,"신암로, 동평로, 연산로",1400,800,기타,허가
